Gene,Module,Log2FC,Adj_PValue,Regulation
GATM,module_6,1.5302192164528772,0.00021652958416539447,Up
SGCZ,module_6,-2.1030130672688494,0.02294238191351649,Down
GTSF1,module_6,6.071242532125713,0.007778439219026654,Up
CPM,module_6,1.7364625696624647,0.00015045073790129467,Up
CPVL,module_6,3.706482233252004,0.0003543004672921468,Up
MGAT5,module_6,-1.1796154290517398,0.0028009872779179374,Down
FKBP11,module_6,1.5275566349242269,0.002079197946908835,Up
PXMP2,module_6,1.0763373794721565,0.003041850045452285,Up
GDPD2,module_6,2.4683917587946493,0.00636709596268232,Up
CNPY1,module_6,1.9575185164230073,0.029278723944590496,Up
AQP4,module_6,1.3712406240573474,0.027610534185829677,Up
BCAS1,module_6,1.4288721689278197,0.035861086808759,Up
RSAD2,module_6,1.964109949030699,0.023728637455757103,Up
COX7A1,module_6,2.713326765154904,0.00036349053596489297,Up
KCNK6,module_6,2.714417704051017,0.04791391823754372,Up
GJB6,module_6,2.3108047154909497,0.0009082168162009239,Up
PDE5A,module_6,1.9044260674800133,0.00011895700468834949,Up
DAO,module_6,3.2636799727519485,0.00021162960772819805,Up
ONECUT2,module_6,3.3660716149471996,0.003031512924272335,Up
MUC3A,module_6,2.335646344446282,0.01139498549843772,Up
HBA1,module_6,-4.765566744364664,0.0033225188075078744,Down
CALN1,module_6,-1.4558687741097738,0.0013979847163525672,Down
AGT,module_6,1.9218003502253544,0.0003781401691423076,Up
NINJ1,module_6,1.175862716861853,0.04703678040066985,Up
PLEKHB1,module_6,1.515008105925641,3.5400074249637734e-06,Up
MPST,module_6,1.1830082401252204,0.03852903045264993,Up
NGB,module_6,5.862244755810076,0.04301289935881772,Up
THBS4,module_6,1.6331618997122401,0.026917087238204945,Up
PTCHD1,module_6,1.8816250069543228,0.0003637209337901726,Up
KCNMB2,module_6,3.1098187085144056,0.003910126735503255,Up
NRGN,module_6,2.1324680046521425,0.03788841317408119,Up
NPBWR1,module_6,7.824359663845283,7.687009980833444e-05,Up
KCNC2,module_6,3.325319579733151,3.556697177822418e-05,Up
TRPC3,module_6,2.402501536691555,0.00636709596268232,Up
ST8SIA4,module_6,1.9248194357390567,0.032850592366170196,Up
MUSTN1,module_6,2.7831347216644975,0.021405289139170558,Up
MFAP4,module_6,2.3719995354464296,0.0222048787854228,Up
HAVCR2,module_6,2.3128647311880792,0.02837938733891976,Up
VRK2,module_6,1.07957645063653,0.004509939955834739,Up
IKZF1,module_6,2.2418331815540795,0.010275022427123049,Up
TSPAN19,module_6,1.7008344806053697,0.035002696471420396,Up
CD6,module_6,-1.3492455939089794,0.01163812335275719,Down
LRRCC1,module_6,1.110197608684115,0.04188377905774704,Up
FAM153A,module_6,1.520162096810225,0.026567319839874787,Up
SLC37A2,module_6,5.8582991084907015,0.0010222393588065549,Up
PRDM16,module_6,2.6236353756824196,0.04614032721941002,Up
ADPRHL1,module_6,1.7725506662733406,0.01232506892446246,Up
SUSD2,module_6,5.887359685504137,0.009324957567575143,Up
KCNJ9,module_6,-1.0971541883219125,0.0004023606997122889,Down
MYO15B,module_6,2.0015398876835944,0.03858781876759223,Up
ANXA2,module_6,1.9286313140085547,0.00047015569570036005,Up
MCUB,module_6,2.569668315738136,9.244732582360742e-05,Up
RASGRF1,module_6,-1.2956446991094448,0.00039564151051515046,Down
PCDHB6,module_6,-3.2459076478956397,0.0068160514266317135,Down
CBLN1,module_6,-1.4209832757573315,1.8799598192906192e-06,Down
RGS5,module_6,2.1275656428547514,0.00016485610399728906,Up
