Gene,Module,Log2FC,Adj_PValue,Regulation,N_CoExpressed_Genes,Mean_TOM_Score,Max_TOM_Score,Module_Membership
SLC1A2,module_6,1.568524631742552,3.058057783810755e-06,Up,106,0.11803987942933303,0.16418595509597564,-0.39369481157110714
SIAH3,module_6,-1.0382407721737636,1.0427311928822981e-08,Down,99,0.1270320377546083,0.1786500751782012,0.13997332361060605
RGS16,module_6,-1.6322676818112092,1.676406330619807e-05,Down,99,0.12307360572451426,0.15894398318356553,0.47709765121219466
PLEKHB1,module_6,1.515008105925641,3.5400074249637734e-06,Up,91,0.12132773457472949,0.1657754643852312,-0.451462672336585
BTG3,module_6,3.5775878840088446,1.4745061818959607e-09,Up,88,0.12067145445929367,0.14893673915892205,-0.02393697992470406
ACBD7,module_6,1.6595466388445435,0.031703908115472294,Up,86,0.12499949769985054,0.16800619267028769,-0.6138852708232568
TRPM3,module_6,2.5681195369519414,6.535335525404145e-10,Up,85,0.12503566126435212,0.17138350936464383,-0.2917876651190504
KLHL13,module_6,-1.1132011708503082,1.4063655167576847e-07,Down,83,0.1288214986082896,0.17118177996037892,0.24184183916881463
FER1L5,module_6,3.414805474455924,0.006725529982978896,Up,83,0.12541832250596602,0.17017403628703986,-0.439254544122362
ALK,module_6,3.602450858497334,1.9759266484970203e-08,Up,82,0.12104703138183431,0.16252350674673718,0.1348871229859839
VANGL2,module_6,2.477188055802007,0.0014128631677085518,Up,81,0.13048788178481094,0.17120455127217388,-0.4392242033348955
CPM,module_6,1.7364625696624647,0.00015045073790129467,Up,81,0.11674818606489114,0.14733002753747634,-0.42818270824104815
EFEMP1,module_6,2.3220363808637003,2.1410844555098043e-05,Up,80,0.12527548982488562,0.16349141611884524,-0.41922832180027875
CCDC152,module_6,1.732345895629369,0.0005875084198580639,Up,79,0.12116867413556867,0.172731657584661,-0.5016216131282912
MAOB,module_6,2.001881351504455,1.2958704149113763e-06,Up,78,0.1261477146791038,0.170825109589335,-0.3932025881565782
GJA1,module_6,1.7935624265508143,0.005815320579483231,Up,78,0.12602985118570295,0.17570752935940046,-0.6396563549389114
TMT1A,module_6,1.8868724634836125,0.0049139999946375,Up,78,0.12578368464484216,0.17271027511725748,-0.4888316354237934
TMEM200A,module_6,3.7236025869057663,9.350266008828916e-10,Up,77,0.12367636110337558,0.16145793903070962,-0.13268306779745312
IRX5,module_6,6.118709401272527,0.0014895041452989322,Up,76,0.11255634338377772,0.14070047373902597,-0.2405321725131721
RAB13,module_6,1.9789460841723778,0.0028980315538891604,Up,75,0.12625573377032012,0.16441800207812396,-0.37123882818105786
CBLN1,module_6,-1.4209832757573315,1.8799598192906192e-06,Down,75,0.11795372011963944,0.16136511986121455,0.3823810669379165
PAM,module_6,1.0002737258921268,2.762946830178135e-06,Up,74,0.13721537827135524,0.1943391712541154,-0.25085169247434136
HSPA1A,module_6,4.247023826871231,0.0036802315835174153,Up,73,0.1378994006805149,0.21911954378924814,-0.634846156261165
SLC18A1,module_6,2.828933737293855,6.2049692861714865e-06,Up,73,0.13158717095707623,0.18534602001844455,-0.3980275032573986
STC1,module_6,3.022656545818174,7.806620763386138e-11,Up,73,0.12353929129847332,0.1786500751782012,-0.1460042666638815
LRP2,module_6,2.7022408798004034,0.00031326535920337447,Up,73,0.11935042844234235,0.16418595509597564,-0.33387144694604354
CALB2,module_6,4.088084561048176,4.131685212665847e-05,Up,72,0.1291048747929061,0.17035272316121303,-0.2191159376042465
TMEM47,module_6,1.9329599504318025,1.1780524787533414e-07,Up,72,0.12240281565585967,0.15878516359460818,-0.28517582073576814
CST3,module_6,1.820022277025083,8.078435882938678e-07,Up,72,0.12201290876239418,0.17071931092509063,-0.014163522994477623
PLXNC1,module_6,2.7405302916828607,3.577476062040733e-06,Up,71,0.12072953711187377,0.16421340963543343,-0.1390243325611322
MT1H,module_6,3.071958947142037,0.0007714283130193203,Up,70,0.11784777516099079,0.15881350764927996,-0.48485616011649235
MGAT5,module_6,-1.1796154290517398,0.0028009872779179374,Down,67,0.1197237107568031,0.15522099370028297,0.47655766930417565
RELN,module_6,3.256404718865623,0.023375534800338462,Up,65,0.1275871390560473,0.1697502500384602,-0.4533880081193607
PARD3B,module_6,2.4739273415078027,0.002315749739407466,Up,65,0.11684668911298203,0.15019593009610344,-0.5186838139734414
CCL3,module_6,2.265731106548586,0.008501285918682964,Up,64,0.13169124191885176,0.1909387674407993,-0.3876355081344868
PLCG2,module_6,1.7166622204901818,0.03980319733228411,Up,64,0.12568868743245065,0.18572166423672293,-0.5498767244883831
KCNAB1,module_6,1.2598931429259286,7.806620763386138e-11,Up,64,0.12138113380160861,0.15672808267217458,-0.09776354397781731
PAPPA,module_6,1.49940088659655,9.827529245162321e-05,Up,63,0.1368980853917862,0.1943391712541154,-0.33749009261810387
S100B,module_6,2.0320467030667912,1.8292410574905811e-06,Up,63,0.12064400940371743,0.1617439844875708,-0.26322677324756016
CXCL16,module_6,2.0653347336887484,0.014890525433130778,Up,62,0.13742889049631354,0.19731408159486633,-0.3598369265912037
SPARCL1,module_6,1.5901058639630934,0.012959530647436388,Up,62,0.13390862956485977,0.1828617077411444,-0.6186612663297437
SERPINE2,module_6,1.3976958574685692,2.1726367259096207e-05,Up,62,0.13012557315674184,0.18021599220652307,-0.32256131986924863
MDK,module_6,2.7306977812260267,4.0235150617119887e-07,Up,62,0.12296304433334165,0.15770881825410468,0.05615983916679977
GRAMD2B,module_6,1.5888106070375916,0.023570663381030796,Up,62,0.12237930485261955,0.17570752935940046,-0.5856827574751012
PRR16,module_6,1.4468828815760808,0.00036854104974665196,Up,61,0.1244969157772463,0.16672481404743378,-0.44708585764457087
MYOM1,module_6,-1.0970137152022805,0.0004023606997122889,Down,60,0.11807790462257277,0.16145793903070962,0.21602882107171706
GIPC2,module_6,-2.233193599188173,6.174990859305573e-05,Down,59,0.11717479047907209,0.14643481085716453,0.08662414796795365
CALN1,module_6,-1.4558687741097738,0.0013979847163525672,Down,58,0.12325151854869572,0.16549742283825422,0.4534716539917128
CD44,module_6,2.5583709916255564,0.0013541617901197793,Up,58,0.122201581888348,0.15755332345592477,-0.48191931982474207
GABRG1,module_6,2.181356473608932,0.0013029345257731622,Up,57,0.11769747083200252,0.15723621952801153,-0.3586532816923156
SERPINH1,module_6,4.392323884867191,0.017471013308660206,Up,56,0.13310935919843553,0.22442226480449787,-0.5281311650160454
FCGR2A,module_6,2.9332851118707453,0.01088160127331304,Up,56,0.12708131887678778,0.1846854418844554,-0.5241004928103101
GNG5,module_6,1.451756810509544,0.024517424733712375,Up,55,0.12104374461094727,0.1578651813801808,-0.41621322573797637
ASPA,module_6,2.412098448567228,0.0012866780540150035,Up,55,0.12033928254273864,0.16490242557919677,-0.45220526730686217
FAM53C,module_6,-1.0157835220011786,0.03824180444293948,Down,54,0.15295745567733082,0.24572481732452503,-0.6541250166354362
HSPA6,module_6,7.252449032510777,0.0007714283130193203,Up,54,0.14064309542528555,0.22442226480449787,-0.512582379067122
FGF14,module_6,1.6098305106607356,0.004244262867854211,Up,53,0.12898426280561293,0.17853269690108356,-0.3875086686128072
MAN1A1,module_6,2.5027429591658255,0.002122130225414922,Up,53,0.11953186154746041,0.16252350674673718,0.17658490623346138
DAO,module_6,3.2636799727519485,0.00021162960772819805,Up,53,0.11540340184545508,0.1481717626549334,0.17989470963036924
ITGB3,module_6,4.014906306205586,0.028723481892121785,Up,52,0.1256075738031507,0.1745745642651075,-0.4224308594210966
CRYM,module_6,4.239668006355321,7.894611151736285e-12,Up,52,0.11861698096188861,0.1516743259079696,0.2095121703751735
GDPD2,module_6,2.4683917587946493,0.00636709596268232,Up,51,0.1278153263686439,0.16966105303930062,-0.33929796135018686
MID1,module_6,1.9905753545431513,5.863248321557643e-06,Up,50,0.1291933735336471,0.17390868029164705,-0.209589743674039
MYBPC1,module_6,2.023155276048344,0.002301599577019995,Up,50,0.12711278949802815,0.1719310163171016,-0.4688955215280299
PACRGL,module_6,1.2675091113777917,2.4153364542541694e-08,Up,50,0.11940455125263033,0.1677116154872763,-0.11259928710753625
IKZF1,module_6,2.2418331815540795,0.010275022427123049,Up,50,0.11738600212779712,0.15980492814815322,-0.4135475287190562
GASK1B,module_6,3.2198453614391767,0.00036349053596489297,Up,50,0.11490713298175952,0.16056944646654892,-0.28797308137599703
CATSPERG,module_6,-1.3312145882112674,0.015654953445753458,Down,49,0.1444457718319311,0.2335156993699482,-0.6571684915436102
SSTR1,module_6,-1.9204829882796626,1.574100716045358e-07,Down,49,0.12611119720825267,0.1732677728910399,0.40758898576057206
GATM,module_6,1.5302192164528772,0.00021652958416539447,Up,49,0.11804504909940056,0.15173925439325647,-0.3370276351021626
CYBRD1,module_6,2.7499474888005677,0.00046939336175045123,Up,49,0.11795990510632895,0.1478008182242984,-0.3635328053106816
TGFBR3,module_6,2.448447343090411,0.002486908389565183,Up,49,0.11635144876664487,0.16284978097329028,-0.48254290117234144
AP1S2,module_6,1.2015879555238573,0.0004023606997122889,Up,48,0.12207819705276003,0.1757444148594177,0.3196369856970725
BAG3,module_6,2.4784572455377636,0.015662610137706964,Up,47,0.13023406536348575,0.1876138448928494,-0.29722116213862854
DNAJB1,module_6,1.2927292776527401,0.021531130932926013,Up,47,0.12850122939500977,0.19409258218903325,-0.3761150622246624
GRP,module_6,4.626178830648424,0.0005835597906379747,Up,47,0.12334115853448033,0.1617703136037257,0.2876386325647368
HYCC1,module_6,-1.0341210352087697,0.00014607642238637723,Down,47,0.12179133726757026,0.18366995445656592,-0.35068931042205254
COX7A1,module_6,2.713326765154904,0.00036349053596489297,Up,47,0.12171596211113221,0.17017403628703986,-0.33774575144965646
HTR2C,module_6,3.8685498892497168,0.03901672495564467,Up,46,0.12471991006753556,0.15499601735607602,-0.34636898402369637
RND2,module_6,1.482280635609409,0.000763852037020074,Up,46,0.1183132537129216,0.15274946816168025,-0.49413203724785126
COL4A4,module_6,2.600766776554899,8.94249093919673e-05,Up,46,0.11686109409740074,0.156708894728486,-0.05802980874308809
GSG1L,module_6,-1.2697334777096236,7.620318586322377e-07,Down,46,0.116022355141331,0.14127511665900636,0.02540702325168029
TRPS1,module_6,1.5237032790172085,0.0135835097015556,Up,45,0.11645364242689238,0.15745035040363928,-0.42214207328441183
PGM5,module_6,2.2220638335617795,0.029278723944590496,Up,45,0.11640001870511146,0.15695972777574727,-0.2667494468607911
COL4A3,module_6,2.236766658348574,7.197251242455375e-06,Up,45,0.11363148586668785,0.14061151238025762,-0.23114010927283524
UNC13C,module_6,-1.3136614552117094,0.011113292803774181,Down,44,0.12873870226974501,0.17623638005145043,0.7388665019786991
AQP4,module_6,1.3712406240573474,0.027610534185829677,Up,44,0.12597568794238903,0.17266867774257247,-0.585000938019321
ETNPPL,module_6,1.734197432070027,0.012852217368120795,Up,44,0.12385452351978529,0.1726815258108537,-0.37390899709588293
KALRN,module_6,-1.077515666756824,0.0004092750886235738,Down,44,0.1188414705365449,0.158526926695664,0.2718550546075869
ADCYAP1,module_6,3.1274713624829533,7.379061163546468e-05,Up,44,0.11674854662205907,0.15298579762231965,-0.13127275186277518
AGT,module_6,1.9218003502253544,0.0003781401691423076,Up,43,0.12455752063635696,0.15852942708354908,-0.3799434062708043
SOX6,module_6,-1.4518693927944653,0.015658637023216307,Down,42,0.12295254196412188,0.1722147563421959,0.6657872850970226
PLAAT5,module_6,5.29062319708035,0.0010859709855048103,Up,42,0.1188069641690012,0.15866217754897582,-0.44637219171471665
