Gene,Module
A1BG,module_3
ADA,module_6
CDH2,module_6
AKT3,module_6
MED6,module_6
NR2E3,module_6
NAALAD2,module_6
DDTL,module_6
NAALADL1,module_6
SIGLEC14,module_6
ACOT8,module_6
ABI1,module_6
GNPDA1,module_6
KCNE3,module_6
CDH3,module_6
TANK,module_6
POM121C,module_6
ZSCAN30,module_6
SRA1,module_6
TMEM170B,module_6
ZGLP1,module_6
MINAR2,module_6
C8orf88,module_6
FAM229A,module_6
OST4,module_6
ZBTB42,module_6
KHDC1L,module_6
SMIM27,module_6
TDRD15,module_6
TEX13C,module_6
ZNF730,module_6
FAM47E,module_6
IZUMO3,module_6
CCDC152,module_6
ZNF737,module_6
HDAC6,module_6
HSFX2,module_6
C17orf107,module_6
TMEM221,module_6
SPMIP1,module_6
LRRC70,module_6
EFCAB10,module_6
SMIM6,module_6
SYCE1L,module_6
SPMIP7,module_6
ZNF316,module_6
BSPH1,module_6
TSTD1,module_6
NEMP2,module_3
ANKRD63,module_6
C11orf91,module_6
SP9,module_6
ARMCX4,module_6
PET100,module_6
ZNF717,module_6
INSYN2B,module_5
ZNF705G,module_2
NPIPB5,module_6
XNDC1N,module_6
CD24,module_6
KCNJ18,module_6
TEN1,module_6
UPK3BL1,module_6
JMJD7,module_6
PLA2G4B,module_6
HDAC5,module_6
KLLN,module_6
PDCD6,module_6
PATE3,module_6
BCL2L10,module_6
SRRM5,module_6
EPOP,module_6
TRIM59-IFT80,module_6
BCL2L11,module_6
TOMM6,module_6
SH2B3,module_6
C5orf52,module_6
CDH4,module_6
GNE,module_6
HCN4,module_6
INSL5,module_6
FRAT1,module_6
TROAP,module_6
MED16,module_6
PIGK,module_6
ARHGEF33,module_6
RASA4B,module_6
CMC4,module_6
WASHC1,module_6
MANSC4,module_6
SMKR1,module_6
SMIM10L2B-AS1,module_6
TTC34,module_1
TIMM23,module_6
SDR42E2,module_6
NPIPA5,module_6
LIMS4,module_6
CLDN34,module_6
TMEM225B,module_6
ZNF605,module_6
ZNF783,module_6
ZNF587B,module_6
CDH5,module_6
TMED7-TICAM2,module_6
TSNAX-DISC1,module_6
PET117,module_6
SAP25,module_6
TRPC5OS,module_6
CHAF1A,module_6
PARP2,module_6
ZBED6,module_6
PARP3,module_1
CDH6,module_6
TOM1L1,module_6
HMGXB4,module_6
SH2D3C,module_6
MAMLD1,module_6
CDH7,module_6
SLC17A4,module_6
INAFM2,module_6
LASP1NB,module_6
LRRC3C,module_6
SPATA1,module_6
APELA,module_6
ARL17B,module_6
GVQW3,module_6
TMEM35B,module_6
HSFX1,module_6
KRBOX1,module_6
MISFA,module_6
SPMAP2L,module_6
C16orf95,module_6
TUNAR,module_6
TPBGL,module_6
SMIM18,module_6
TMEM178B,module_6
MICA,module_6
TGFBR3L,module_6
NPIPB9,module_6
